0;Ágatha Almeida;feminino;PROFESSOR DE ESTUDOS SOCIAIS ENSINO DE 1O GRAU;78
1;Ágatha Alves;feminino;MEDICO PEDIATRA;66
2;Ágatha Araujo;feminino;PROFESSOR DE COMUNICACAO;18
3;Ágatha Azevedo;feminino;MEDICO PEDIATRA;73
4;Ágatha Barbosa;feminino;QUIMICO;86
5;Ágatha Barros;feminino;TECNICO DE LABORATORIO;22
6;Ágatha Cardoso;feminino;AGENTE ADMINISTRATIVO;55
7;Ágatha Carvalho;feminino;CIRURGIAO DENTISTA;25
8;Ágatha Castro;feminino;AUXILIARES DE CONTABILIDADE;80
9;Ágatha Cavalcanti;feminino;BARMAN;77
10;Ágatha Correia;feminino;SERVENTUARIOS DA JUSTICA;47
11;Ágatha Cunha;feminino;PRODUTOR DE RADIO E TELEVISAO;62
12;Ágatha Dias;feminino;PROFESSOR DE BIOLOGIA ENSINO DE 2O GRAU;50
13;Ágatha Fernandes;feminino;AUXILIAR DE LABORATORIO DE ANALISES CLINICAS;84
14;Ágatha Ferreira;feminino;PSICOLOGO;50
15;Ágatha Gomes;feminino;ENFERMEIRO;49
16;Ágatha Goncalves;feminino;PROFESSOR DE DIREITO;66
17;Ágatha Lima;feminino;AUXILIAR DE IMPORTACAO E EXPORTACAO;63
18;Ágatha Martins;feminino;TECNICO DE PLANEJAMENTO DE PRODUCAO;48
19;Ágatha Melo;feminino;CHEFE DE SERVICO DE TRANSPORTE RODOVIARIO;25
20;Ágatha Pereira;feminino;SUPERVISOR EDUCACIONAL;63
21;Ágatha Pinto;feminino;PROFESSOR DE 1A A 4A SERIE ENSINO DE 1O GRAU;90
22;Ágatha Ribeiro;feminino;SECRETARIO EXECUTIVO;22
23;Ágatha Rodrigues;feminino;BIBLIOTECARIO;66
24;Ágatha Silva;feminino;DESENHISTA PROJETISTA;87
25;Ágatha Sousa;feminino;ENGENHEIRO ELETRONICO;18
26;Ágatha Souza;feminino;PROFESSOR DE DIDATICA ENSINO SUPERIOR;88
27;Alex Almeida;masculino;AUXILIAR DE ALMOXARIFADO;56
28;Alex Alves;masculino;GERENTE COMERCIAL;42
29;Alex Araujo;masculino;BIOLOGISTA;53
30;Alex Azevedo;masculino;FONOAUDIOLOGO;36
31;Alex Barbosa;masculino;CHEFE DE ESCRITORIO SERVICOS GERAIS;24
32;Alex Barros;masculino;AGENTE DE COMPRAS;90
33;Alex Carvalho;masculino;ENGENHEIRO AGRONOMO;75
34;Alex Castro;masculino;ENGENHEIRO DE MANUTENCAO ELETRICIDADE E ELETRONICA;62
35;Alex Cavalcanti;masculino;MEDICO GINECOLOGISTA;76
36;Alex Correia;masculino;TECNICO DE ADMINISTRACAO;42
37;Alex Costa;masculino;MEDICO PEDIATRA;72
38;Alex Cunha;masculino;TECNICO DE ENFERMAGEM;70
39;Alex Dias;masculino;BIBLIOTECARIO;49
40;Alex Ferreira;masculino;GERENTE DE TRANSPORTE;27
41;Alex Gomes;masculino;PROFESSOR DE PRATICA DE ENSINO ENSINO SUPERIOR;88
42;Alex Goncalves;masculino;ORIENTADOR EDUCACIONAL;20
